point_victor,match_id,player1,player2,elapsed_time,set_no,game_no,point_no,p1_sets,p2_sets,p1_games,p2_games,server,serve_no,p1_points_won,p2_points_won,game_victor,set_victor,p1_ace,p2_ace,p1_winner,p2_winner,winner_shot_type,p1_double_fault,p2_double_fault,p1_unf_err,p2_unf_err,p1_net_pt,p2_net_pt,p1_net_pt_won,p2_net_pt_won,p1_break_pt,p2_break_pt,p1_break_pt_won,p2_break_pt_won,p1_break_pt_missed,p2_break_pt_missed,p1_distance_run,p2_distance_run,rally_count,speed_mph,serve_width,serve_depth,return_depth,p1_score_normal,p1_score_tiebreak,p2_score_normal,p2_score_tiebreak,p1_game_victor,p2_game_victor,p1_set_victor,p2_set_victor,p1_momentum_value,p2_momentum_value,p1_momentum_value_better
1,1301,0,0,425,1,2,11,0,0,1,0,2,1,6,5,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.785,4.915,1,112,3,1,1,0,0,0,0,1,0,0,0,4.439051195,4.014519602,0.424531593
0,1301,0,0,448,1,2,12,0,0,1,0,2,1,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.744,18.244,4,130,3,0,1,0,0,1,0,1,0,0,0,4.349596287,4.047279306,0.302316981
0,1301,0,0,486,1,2,13,0,0,1,0,2,1,8,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,26.013,18.626,4,120,4,0,1,1,0,1,0,1,0,0,0,4.222498512,4.074574907,0.147923605
1,1301,0,0,521,1,2,14,0,0,1,0,2,1,8,6,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.667,7.112,3,128,3,0,0,2,0,1,0,1,0,0,0,4.075249301,4.093327912,-0.018078611
1,1301,0,0,551,1,2,15,0,0,1,0,2,1,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.399,2.237,1,130,4,0,0,2,0,2,0,1,0,0,0,3.924278801,4.101754224,-0.177475423
0,1301,0,0,577,1,2,16,0,0,1,0,2,2,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.3,4.307,2,97,2,0,1,2,0,3,0,1,0,0,0,3.783847749,4.099304834,-0.315457086
1,1301,0,0,620,1,2,17,0,0,1,0,2,1,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.245,5.499,1,124,0,0,2,3,0,3,0,1,0,0,0,3.665390549,4.086515268,-0.421124719
1,1301,0,0,645,1,2,18,0,0,1,0,2,1,9,9,2,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,15.194,16.594,3,116,4,0,0,3,0,4,0,1,1,0,0,3.577211395,4.064800249,-0.487588854
0,1301,0,0,684,1,3,19,0,0,1,1,1,1,10,9,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.899,1.073,1,126,4,1,2,0,0,0,0,1,1,0,0,3.524449834,4.036222138,-0.511772304
0,1301,0,0,707,1,3,20,0,0,1,1,1,1,11,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.088,34.756,5,127,3,1,1,1,0,0,0,1,1,0,0,3.509245152,4.003254916,-0.494009764
1,1301,0,0,737,1,3,21,0,0,1,1,1,1,11,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.288,10.818,2,114,2,0,1,2,0,0,0,1,1,0,0,3.53104051,3.968559739,-0.437519229
0,1301,0,0,764,1,3,22,0,0,1,1,1,1,12,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,42.166,32.944,9,127,1,0,0,2,0,1,0,1,1,0,0,3.586978028,3.934783327,-0.347805299
0,1301,0,0,806,1,3,23,0,0,1,1,1,2,13,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.782,4.479,1,103,0,0,1,3,0,1,0,2,1,0,0,3.67234503,3.904386435,-0.232041405
1,1301,0,0,931,1,4,24,0,0,2,1,2,2,13,11,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12.601,13.713,3,107,0,0,0,0,0,0,0,2,1,0,0,3.781039599,3.879506469,-0.098466869
1,1301,0,0,975,1,4,25,0,0,2,1,2,1,13,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.925,13.976,3,111,2,0,0,0,0,1,0,2,1,0,0,3.906030474,3.861855698,0.044174776
1,1301,0,0,1007,1,4,26,0,0,2,1,2,1,13,13,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.903,1.067,1,125,4,0,2,0,0,2,0,2,1,0,0,4.039792301,3.852654506,0.187137795
1,1301,0,0,1028,1,4,27,0,0,2,1,2,1,13,14,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.027,7.402,3,126,3,0,2,0,0,3,0,2,2,0,0,4.174702371,3.8525976,0.322104771
0,1301,0,0,1069,1,5,28,0,0,2,2,1,1,14,14,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.352,29.366,5,116,3,1,0,0,0,0,0,2,2,0,0,4.30338931,3.861849989,0.441539322
0,1301,0,0,1105,1,5,29,0,0,2,2,1,1,15,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.285,8.276,1,129,4,0,0,1,0,0,0,2,2,0,0,4.419027878,3.880068803,0.538959075
0,1301,0,0,1130,1,5,30,0,0,2,2,1,1,16,14,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,11.974,12.523,3,110,0,0,0,2,0,0,0,2,2,0,0,4.515577029,3.906446589,0.60913044
1,1301,0,0,1160,1,5,31,0,0,2,2,1,2,16,15,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5.609,6.965,2,113,0,0,0,3,0,0,0,2,2,0,0,4.587960903,3.939771504,0.648189399
1,1301,0,0,1203,1,5,32,0,0,2,2,1,2,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.518,12.74,2,104,0,0,1,3,0,1,0,2,2,0,0,4.632194367,3.978499881,0.653694486
1,1301,0,0,1255,1,5,33,0,0,2,2,1,1,16,17,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8.859,11.439,2,111,1,1,1,3,0,2,0,2,2,0,0,4.645456296,4.020836779,0.624619517
0,1301,0,0,1287,1,5,34,0,0,2,2,1,2,17,17,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,30.782,25.6,5,97,4,1,1,3,0,3,0,2,2,0,0,4.626114922,4.06482046,0.561294462
0,1301,0,0,1339,1,5,35,0,0,2,2,1,1,18,17,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,6.824,9.574,1,114,4,0,1,4,0,3,0,3,2,0,0,4.573710418,4.108407107,0.465303311
1,1301,0,0,1462,1,6,36,0,0,3,2,2,1,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.809,6.11,1,110,3,1,0,0,0,0,0,3,2,0,0,4.48890042,4.149552577,0.339347843
0,1301,0,0,1493,1,6,37,0,0,3,2,2,2,19,18,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,29.094,29.593,6,90,2,0,0,0,0,1,0,3,2,0,0,4.373374468,4.186288469,0.187085999
1,1301,0,0,1565,1,6,38,0,0,3,2,2,1,19,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.815,5.189,1,125,4,0,1,1,0,1,0,3,2,0,0,4.229743439,4.216790299,0.01295314
1,1301,0,0,1590,1,6,39,0,0,3,2,2,1,19,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.678,2.617,1,127,1,0,0,1,0,2,0,3,2,0,0,4.061409943,4.239436109,-0.178026167
1,1301,0,0,1616,1,6,40,0,0,3,2,2,2,19,21,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.043,4.667,1,111,2,0,0,1,0,3,0,3,3,0,0,3.872425424,4.252854321,-0.380428897
0,1301,0,0,1662,1,7,41,0,0,3,3,1,2,20,21,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,34.233,32.677,9,107,2,0,0,0,0,0,0,3,3,0,0,3.667339368,4.255960129,-0.588620761
0,1301,0,0,1717,1,7,42,0,0,3,3,1,1,21,21,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,9.872,19.138,3,120,4,0,0,1,0,0,0,3,3,0,0,3.451045558,4.247980168,-0.79693461
0,1301,0,0,1746,1,7,43,0,0,3,3,1,1,22,21,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.277,11.043,3,115,3,1,0,2,0,0,0,3,3,0,0,3.228629867,4.228465586,-0.999835719
1,1301,0,0,1772,1,7,44,0,0,3,3,1,2,22,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.076,18.664,6,104,2,0,1,3,0,0,0,3,3,0,0,3.005223491,4.197293995,-1.192070504
0,1301,0,0,1817,1,7,45,0,0,3,3,1,2,23,22,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,31.727,25.324,5,101,1,0,1,3,0,1,0,4,3,0,0,2.785864993,4.154661079,-1.368796087
1,1301,0,0,1954,1,8,46,0,0,4,3,2,1,23,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.879,4.853,1,132,4,1,1,0,0,0,0,4,3,0,0,2.575373941,4.101062874,-1.525688933
0,1301,0,0,1977,1,8,47,0,0,4,3,2,2,24,23,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0.929,0.93,0,0,3,1,2,0,0,1,0,4,3,0,0,2.378238371,4.037269927,-1.659031556
1,1301,0,0,2013,1,8,48,0,0,4,3,2,1,24,24,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.427,0.849,1,130,4,1,2,1,0,1,0,4,3,0,0,2.198517711,3.964294685,-1.765776973
0,1301,0,0,2038,1,8,49,0,0,4,3,2,2,25,24,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,17.838,18.464,6,101,2,0,1,1,0,2,0,4,3,0,0,2.039762336,3.883353527,-1.84359119
0,1301,0,0,2086,1,8,50,0,0,4,3,2,2,26,24,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,61.781,54.356,16,106,1,0,1,2,0,2,0,4,3,0,0,1.904950367,3.79582494,-1.890874573
0,1301,0,0,2162,1,8,51,0,0,4,3,2,2,27,24,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,29.677,19.121,6,106,1,0,0,3,0,2,0,5,3,0,0,1.796441917,3.703205285,-1.906763368
0,1301,0,0,2238,1,9,52,0,0,5,3,1,1,28,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.341,4.725,1,115,2,0,1,0,0,0,0,5,3,0,0,1.715950544,3.607063586,-1.891113041
1,1301,0,0,2264,1,9,53,0,0,5,3,1,2,28,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.528,7.524,2,100,2,0,1,1,0,0,0,5,3,0,0,1.664531323,3.508996703,-1.84446538
0,1301,0,0,2306,1,9,54,0,0,5,3,1,1,29,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.227,6.116,1,122,0,0,1,1,0,1,0,5,3,0,0,1.642584618,3.410586124,-1.768001506
1,1301,0,0,2334,1,9,55,0,0,5,3,1,1,29,26,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,11.654,11.702,4,115,4,0,0,2,0,1,0,5,3,0,0,1.649874379,3.313357492,-1.663483113
0,1301,0,0,2369,1,9,56,0,0,5,3,1,1,30,26,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,11.34,11.519,3,129,4,0,0,2,0,2,0,5,3,0,0,1.685559566,3.218743845,-1.533184279
1,1301,0,0,2401,1,9,57,0,0,5,3,1,1,30,27,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,9.299,8.077,2,113,2,0,2,3,0,2,0,5,3,0,0,1.748237126,3.128053353,-1.379816227
0,1301,0,0,2433,1,9,58,0,0,5,3,1,1,31,27,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,31.428,29.751,7,114,2,0,1,3,0,3,0,5,3,0,0,1.835994839,3.04244221,-1.206447371
1,1301,0,0,2483,1,9,59,0,0,5,3,1,2,31,28,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,16.514,17.962,4,88,2,0,0,4,0,3,0,5,3,0,0,1.946472258,2.96289311,-1.016420851
1,1301,0,0,2551,1,9,60,0,0,5,3,1,1,31,29,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,21.882,23.411,6,123,0,0,1,3,0,3,0,5,3,0,0,2.076927951,2.890199612,-0.813271661
0,1301,0,0,2598,1,9,61,0,0,5,3,1,1,32,29,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,18.705,28.259,7,121,0,0,0,3,0,4,0,5,3,0,0,2.224311228,2.824956489,-0.600645261
0,1301,0,0,2639,1,9,62,0,0,5,3,1,1,33,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.109,3.14,1,130,4,0,0,3,0,3,0,5,3,0,0,2.385336601,2.767556009,-0.382219408
0,1301,0,0,2669,1,9,63,0,0,5,3,1,1,34,29,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,16.592,19.606,3,132,2,0,0,4,0,3,0,6,3,1,0,2.556559286,2.718189943,-0.161630657
1,1301,0,0,2824,2,1,64,1,0,0,0,2,1,34,30,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.621,0.843,1,123,4,0,2,0,0,0,0,6,3,1,0,2.734450138,2.676856959,0.057593178
1,1301,0,0,2847,2,1,65,1,0,0,0,2,1,34,31,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.896,0.864,1,117,4,0,2,0,0,1,0,6,3,1,0,2.915468552,2.643374933,0.272093619
1,1301,0,0,2872,2,1,66,1,0,0,0,2,1,34,32,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3.619,3.818,1,123,1,0,0,0,0,2,0,6,3,1,0,3.096131997,2.6173976,0.478734397
1,1301,0,0,2897,2,1,67,1,0,0,0,2,1,34,33,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.33,6.471,1,122,4,1,0,0,0,3,0,6,4,1,0,3.273080984,2.598434901,0.674646083
0,1301,0,0,2957,2,2,68,1,0,0,1,1,1,35,33,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.827,1.015,1,127,4,0,2,0,0,0,0,6,4,1,0,3.443138466,2.585876309,0.857262156
0,1301,0,0,2978,2,2,69,1,0,0,1,1,2,36,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.754,3.715,1,102,2,0,0,1,0,0,0,6,4,1,0,3.603362819,2.579016355,1.024346464
1,1301,0,0,3014,2,2,70,1,0,0,1,1,2,36,34,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.314,3.801,2,111,2,0,1,2,0,0,0,6,4,1,0,3.751093738,2.577081589,1.174012149
1,1301,0,0,3070,2,2,71,1,0,0,1,1,1,36,35,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,35.48,40.171,12,118,0,0,1,2,0,1,0,6,4,1,0,3.883990551,2.579258175,1.304732376
0,1301,0,0,3114,2,2,72,1,0,0,1,1,1,37,35,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.824,1.682,1,126,4,0,2,2,0,2,0,6,4,1,0,4.000062644,2.58471936,1.415343284
1,1301,0,0,3141,2,2,73,1,0,0,1,1,2,37,36,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11.674,13.243,2,97,3,1,0,3,0,2,0,6,4,1,0,4.097691836,2.59265206,1.505039777
1,1301,0,0,3186,2,2,74,1,0,0,1,1,2,37,37,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7.494,9.222,2,105,0,0,1,3,0,3,0,6,4,1,0,4.17564673,2.602281904,1.573364827
1,1301,0,0,3251,2,2,75,1,0,0,1,1,1,37,38,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,8.235,10.59,2,129,1,0,0,3,0,4,0,6,5,1,0,4.233089184,2.612896087,1.620193096
1,1301,0,0,3296,2,3,76,1,0,0,2,2,1,37,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.125,7.455,1,126,4,1,1,0,0,0,0,6,5,1,0,4.269573208,2.623863507,1.645709701
1,1301,0,0,3320,2,3,77,1,0,0,2,2,1,37,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.712,11.06,1,128,3,1,0,0,0,1,0,6,5,1,0,4.28503672,2.634651716,1.650385004
1,1301,0,0,3350,2,3,78,1,0,0,2,2,1,37,41,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.788,5.077,3,108,2,0,1,0,0,2,0,6,5,1,0,4.27978666,2.644840336,1.634946323
1,1301,0,0,3428,2,3,79,1,0,0,2,2,2,37,42,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,33.044,35.246,7,101,3,1,1,0,0,3,0,6,6,1,0,4.254478112,2.65413067,1.600347443
1,1301,0,0,3562,2,4,80,1,0,0,3,1,2,37,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.924,44.017,10,106,1,0,1,0,0,0,0,6,6,1,0,4.210088121,2.662351358,1.547736763
0,1301,0,0,3617,2,4,81,1,0,0,3,1,1,38,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.013,9.173,1,111,4,0,0,0,0,1,0,6,6,1,0,4.147884945,2.669460034,1.47842491
0,1301,0,0,3641,2,4,82,1,0,0,3,1,1,39,43,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.761,0.939,1,110,3,1,2,1,0,1,0,6,6,1,0,4.06939356,2.675541019,1.393852541
1,1301,0,0,3681,2,4,83,1,0,0,3,1,1,39,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.844,40.876,8,119,4,1,1,2,0,1,0,6,6,1,0,3.976358228,2.680799221,1.295559008
1,1301,0,0,3725,2,4,84,1,0,0,3,1,2,39,45,0,0,0,0,0,1,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,12.977,15.558,4,95,4,0,0,2,0,2,0,6,6,1,0,3.87070295,2.68555048,1.18515247
0,1301,0,0,3774,2,4,85,1,0,0,3,1,2,40,45,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,9.419,12.316,3,95,1,0,0,2,0,3,0,6,6,1,0,3.754490638,2.690208687,1.064281951
0,1301,0,0,3830,2,4,86,1,0,0,3,1,1,41,45,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14.306,18.004,3,102,2,1,0,3,0,3,0,6,6,1,0,3.629881802,2.69527009,0.934611713
0,1301,0,0,3861,2,4,87,1,0,0,3,1,2,42,45,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.74,38.948,11,120,1,0,1,4,0,3,0,7,6,1,0,3.49909352,2.701295245,0.797798275
1,1301,0,0,3938,2,5,88,1,0,1,3,2,1,42,46,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.199,15.177,5,113,3,1,1,0,0,0,0,7,6,1,0,3.364359409,2.708889158,0.655470251
1,1301,0,0,3976,2,5,89,1,0,1,3,2,1,42,47,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,11.273,7.428,1,128,3,0,1,0,0,1,0,7,6,1,0,3.227891265,2.718680147,0.509211118
0,1301,0,0,4006,2,5,90,1,0,1,3,2,2,43,47,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,22.467,16.135,6,111,4,0,0,0,0,2,0,7,6,1,0,3.091842975,2.731298046,0.360544929
0,1301,0,0,4062,2,5,91,1,0,1,3,2,1,44,47,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,36.689,27.317,8,131,2,0,1,1,0,2,0,7,6,1,0,2.95827722,2.747352315,0.210924905
0,1301,0,0,4106,2,5,92,1,0,1,3,2,1,45,47,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,39.829,32.608,10,134,4,0,1,2,0,2,0,7,6,1,0,2.829135423,2.767410672,0.061724751
1,1301,0,0,4159,2,5,93,1,0,1,3,2,1,45,48,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,30.783,24.947,5,123,1,0,0,3,0,2,0,7,6,1,0,2.70621131,2.791978807,-0.085767496
0,1301,0,0,4224,2,5,94,1,0,1,3,2,2,46,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.903,38.624,10,107,4,0,0,3,0,3,0,7,6,1,0,2.591128367,2.821481726,-0.230353359
1,1301,0,0,4290,2,5,95,1,0,1,3,2,1,46,49,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,26.961,12.75,3,118,3,1,0,4,0,3,0,7,6,1,0,2.485321382,2.856247223,-0.37092584
1,1301,0,0,4328,2,5,96,1,0,1,3,2,1,46,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.211,4.663,1,131,4,0,0,3,0,3,0,7,6,1,0,2.39002221,2.89649192,-0.506469709
1,1301,0,0,4357,2,5,97,1,0,1,3,2,1,46,51,2,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,20.629,16.426,5,129,2,0,2,3,0,4,0,7,7,1,0,2.306249756,2.942310253,-0.636060497
1,1301,0,0,4488,2,6,98,1,0,1,4,1,2,46,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.367,14.617,2,115,4,0,0,0,0,0,0,7,7,1,0,2.234804168,2.993666711,-0.758862543
0,1301,0,0,4527,2,6,99,1,0,1,4,1,1,47,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.716,6.076,1,109,4,0,0,0,0,1,0,7,7,1,0,2.176265092,3.050391519,-0.874126426
1,1301,0,0,4555,2,6,100,1,0,1,4,1,2,47,53,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5.607,6.246,2,91,4,0,0,1,0,1,0,7,7,1,0,2.130993816,3.112179947,-0.98118613
0,1301,0,0,4613,2,6,101,1,0,1,4,1,1,48,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.576,4.202,1,126,3,0,0,1,0,2,0,7,7,1,0,2.099139047,3.178595236,-1.079456189
0,1301,0,0,4642,2,6,102,1,0,1,4,1,1,49,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.352,19.512,1,108,1,0,1,2,0,2,0,7,7,1,0,2.080646036,3.249075125,-1.16842909
1,1301,0,0,4668,2,6,103,1,0,1,4,1,1,49,54,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.38,47.896,10,97,3,0,1,3,0,2,0,7,7,1,0,2.075268665,3.322941817,-1.247673151
