index,point_victor,match_id,player1,player2,elapsed_time,set_no,game_no,point_no,p1_sets,p2_sets,p1_games,p2_games,server,serve_no,p1_points_won,p2_points_won,game_victor,set_victor,p1_ace,p2_ace,p1_winner,p2_winner,winner_shot_type,p1_double_fault,p2_double_fault,p1_unf_err,p2_unf_err,p1_net_pt,p2_net_pt,p1_net_pt_won,p2_net_pt_won,p1_break_pt,p2_break_pt,p1_break_pt_won,p2_break_pt_won,p1_break_pt_missed,p2_break_pt_missed,p1_distance_run,p2_distance_run,rally_count,speed_mph,serve_width,serve_depth,return_depth,p1_score_normal,p1_score_tiebreak,p2_score_normal,p2_score_tiebreak,p1_game_victor,p2_game_victor,p1_set_victor,p2_set_victor,p1_momentum,p2_momentum,p1_momentum_value,p2_momentum_value,p1_momentum_value_better
645,0.0,1304.0,3.0,3.0,359.0,1.0,3.0,11.0,0.0,0.0,1.0,1.0,1.0,2.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.757,9.224,3.0,95.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3,3,2.9307017813815865,2.858669557784991,0.07203222359659556
646,0.0,1304.0,3.0,3.0,390.0,1.0,3.0,12.0,0.0,0.0,1.0,1.0,1.0,1.0,8.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.291,24.933,7.0,117.0,3.0,0.0,1.0,3.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,3,3,2.980263783049454,2.8150512451897156,0.16521253785973844
647,0.0,1304.0,3.0,3.0,504.0,1.0,4.0,13.0,0.0,0.0,2.0,1.0,2.0,2.0,9.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.402,7.535,2.0,108.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,3,3,3.0297839992342825,2.78864235502388,0.24114164421040263
648,0.0,1304.0,3.0,3.0,533.0,1.0,4.0,14.0,0.0,0.0,2.0,1.0,2.0,2.0,10.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.94,1.038,0.0,0.0,4.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,3,3,3.0748229633533537,2.7797263437285773,0.2950966196247764
649,1.0,1304.0,3.0,3.0,571.0,1.0,4.0,15.0,0.0,0.0,2.0,1.0,2.0,1.0,10.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.78,18.968,5.0,128.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,3,3,3.1119512103251905,2.787397639754917,0.32455357057027356
650,1.0,1304.0,3.0,3.0,603.0,1.0,4.0,16.0,0.0,0.0,2.0,1.0,2.0,1.0,10.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.898,9.751,1.0,122.0,3.0,1.0,1.0,2.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,3,3,3.1387670661586613,2.809848653478557,0.32891841268010413
651,0.0,1304.0,3.0,3.0,625.0,1.0,4.0,17.0,0.0,0.0,2.0,1.0,2.0,2.0,11.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.463,17.925,6.0,112.0,3.0,1.0,0.0,2.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,3,3,3.153861609451303,2.84462989024121,0.30923171921009285
652,1.0,1304.0,3.0,3.0,675.0,1.0,4.0,18.0,0.0,0.0,2.0,1.0,2.0,1.0,11.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,38.64,43.183,11.0,127.0,4.0,0.0,1.0,3.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,3,3,3.156744147111451,2.888881618952015,0.2678625281594358
653,1.0,1304.0,3.0,3.0,723.0,1.0,4.0,19.0,0.0,0.0,2.0,1.0,2.0,1.0,11.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.104,5.347,1.0,125.0,2.0,0.0,1.0,3.0,0.0,3.0,0.0,2.0,1.0,0.0,0.0,3,3,3.1477396151705404,2.9395363673764536,0.20820324779408672
654,0.0,1304.0,3.0,3.0,750.0,1.0,4.0,20.0,0.0,0.0,2.0,1.0,2.0,2.0,12.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.568,16.514,4.0,121.0,0.0,0.0,0.0,3.0,0.0,4.0,0.0,2.0,1.0,0.0,0.0,3,3,3.127867568083662,2.9934922135433455,0.13437535454031657
655,1.0,1304.0,3.0,3.0,811.0,1.0,4.0,21.0,0.0,0.0,2.0,1.0,2.0,1.0,12.0,9.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.066,0.943,1.0,126.0,4.0,0.0,2.0,3.0,0.0,3.0,0.0,2.0,1.0,0.0,0.0,3,3,3.0987108451658623,3.0477574304662194,0.050953414699642874
656,1.0,1304.0,3.0,3.0,832.0,1.0,4.0,22.0,0.0,0.0,2.0,1.0,2.0,2.0,12.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.193,15.082,5.0,101.0,3.0,0.0,0.0,3.0,0.0,4.0,0.0,2.0,2.0,0.0,0.0,3,3,3.0622805898628105,3.099567528042766,-0.03728693817995543
657,0.0,1304.0,3.0,3.0,881.0,1.0,5.0,23.0,0.0,0.0,2.0,2.0,1.0,1.0,13.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.327,4.714,1.0,97.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,3,3,3.020883035844072,3.1464761305885984,-0.1255930947445263
658,0.0,1304.0,3.0,3.0,900.0,1.0,5.0,24.0,0.0,0.0,2.0,2.0,1.0,1.0,14.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.137,7.568,1.0,104.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,3,3,2.9769923532253872,3.1864214395870056,-0.2094290863616184
659,0.0,1304.0,3.0,3.0,917.0,1.0,5.0,25.0,0.0,0.0,2.0,2.0,1.0,1.0,15.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.913,25.23,7.0,130.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,3,3,2.9331328587221943,3.217770267090558,-0.2846374083683636
660,0.0,1304.0,3.0,3.0,947.0,1.0,5.0,26.0,0.0,0.0,2.0,2.0,1.0,1.0,16.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.802,8.942,3.0,114.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,3,3,2.891773025717982,3.2393417935770525,-0.3475687678590704
661,0.0,1304.0,3.0,3.0,1048.0,1.0,6.0,27.0,0.0,0.0,3.0,2.0,2.0,1.0,17.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.825,4.702,2.0,120.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,3,3,2.8552329749685184,3.250413312317958,-0.3951803373494398
662,1.0,1304.0,3.0,3.0,1065.0,1.0,6.0,28.0,0.0,0.0,3.0,2.0,2.0,1.0,17.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.05,4.681,1.0,124.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,3,3,2.825606475188562,3.2507102774350267,-0.4251038022464648
663,0.0,1304.0,3.0,3.0,1082.0,1.0,6.0,29.0,0.0,0.0,3.0,2.0,2.0,1.0,18.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.535,1.641,2.0,127.0,4.0,0.0,2.0,1.0,0.0,1.0,0.0,3.0,2.0,0.0,0.0,3,3,2.8046979266773038,3.2403829813719938,-0.43568505469469
664,0.0,1304.0,3.0,3.0,1123.0,1.0,6.0,30.0,0.0,0.0,3.0,2.0,2.0,2.0,19.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.615,17.285,4.0,96.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,3.0,2.0,0.0,0.0,3,3,2.793974332389067,3.2199721556722163,-0.4259978232831494
665,1.0,1304.0,3.0,3.0,1185.0,1.0,6.0,31.0,0.0,0.0,3.0,2.0,2.0,1.0,19.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,21.853,13.534,5.0,111.0,3.0,1.0,0.0,3.0,0.0,1.0,0.0,3.0,2.0,0.0,0.0,3,3,2.794531871769818,3.1903657225189614,-0.39583385074914323
666,1.0,1304.0,3.0,3.0,1219.0,1.0,6.0,32.0,0.0,0.0,3.0,2.0,2.0,2.0,19.0,13.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,18.443,21.823,5.0,89.0,3.0,1.0,1.0,3.0,0.0,2.0,0.0,3.0,2.0,0.0,0.0,3,3,2.8070763759313335,3.152748828869122,-0.3456724529377886
667,1.0,1304.0,3.0,3.0,1271.0,1.0,6.0,33.0,0.0,0.0,3.0,2.0,2.0,1.0,19.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.217,2.317,1.0,132.0,4.0,0.0,0.0,3.0,0.0,3.0,0.0,3.0,2.0,0.0,0.0,3,3,2.8319167513694032,3.108549175226062,-0.27663242385665887
668,0.0,1304.0,3.0,3.0,1292.0,1.0,6.0,34.0,0.0,0.0,3.0,2.0,2.0,2.0,20.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.924,6.05,0.0,0.0,2.0,1.0,0.0,3.0,0.0,4.0,0.0,3.0,2.0,0.0,0.0,3,3,2.8689702068357708,3.0593795118164717,-0.19040930498070097
669,1.0,1304.0,3.0,3.0,1332.0,1.0,6.0,35.0,0.0,0.0,3.0,2.0,2.0,1.0,20.0,15.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.044,11.819,3.0,118.0,3.0,0.0,0.0,3.0,0.0,3.0,0.0,3.0,2.0,0.0,0.0,3,3,2.9177779978949347,3.0069790204638225,-0.08920102256888773
670,1.0,1304.0,3.0,3.0,1360.0,1.0,6.0,36.0,0.0,0.0,3.0,2.0,2.0,1.0,20.0,16.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.31,7.44,3.0,121.0,4.0,0.0,0.0,3.0,0.0,4.0,0.0,3.0,3.0,0.0,0.0,3,3,2.9775303102283655,2.9531551347411895,0.024375175487175937
671,0.0,1304.0,3.0,3.0,1396.0,1.0,7.0,37.0,0.0,0.0,3.0,3.0,1.0,1.0,21.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.239,9.474,1.0,102.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,3,3,3.0470988503243372,2.899727177651439,0.1473716726728984
672,1.0,1304.0,3.0,3.0,1417.0,1.0,7.0,38.0,0.0,0.0,3.0,3.0,1.0,1.0,21.0,17.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.381,11.904,4.0,111.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,3,3,3.12507569559172,2.84847301840282,0.2766026771889001
673,0.0,1304.0,3.0,3.0,1441.0,1.0,7.0,39.0,0.0,0.0,3.0,3.0,1.0,1.0,22.0,17.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.32,1.106,1.0,120.0,3.0,1.0,2.0,1.0,0.0,1.0,0.0,3.0,3.0,0.0,0.0,3,3,3.2098169702537893,2.801079770785351,0.4087371994684381
674,1.0,1304.0,3.0,3.0,1458.0,1.0,7.0,40.0,0.0,0.0,3.0,3.0,1.0,1.0,22.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.15,12.207,4.0,121.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,3.0,3.0,0.0,0.0,3,3,3.2994899540749074,2.759099377852137,0.5403905762227703
675,0.0,1304.0,3.0,3.0,1482.0,1.0,7.0,41.0,0.0,0.0,3.0,3.0,1.0,1.0,23.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.032,5.627,1.0,107.0,3.0,1.0,0.0,2.0,0.0,2.0,0.0,3.0,3.0,0.0,0.0,3,3,3.3921222937618634,2.723909753425723,0.6682125403361403
676,1.0,1304.0,3.0,3.0,1505.0,1.0,7.0,42.0,0.0,0.0,3.0,3.0,1.0,2.0,23.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,16.54,16.191,4.0,79.0,1.0,0.0,1.0,3.0,0.0,2.0,0.0,3.0,3.0,0.0,0.0,3,3,3.4856520678679965,2.696681982442128,0.7889700854258686
677,1.0,1304.0,3.0,3.0,1546.0,1.0,7.0,43.0,0.0,0.0,3.0,3.0,1.0,1.0,23.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.662,11.092,2.0,101.0,3.0,1.0,0.0,3.0,0.0,3.0,0.0,3.0,3.0,0.0,0.0,3,3,3.5779775515622516,2.6783539211007916,0.89962363046146
678,1.0,1304.0,3.0,3.0,1569.0,1.0,7.0,44.0,0.0,0.0,3.0,3.0,1.0,2.0,23.0,21.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,34.949,32.707,8.0,86.0,1.0,0.0,0.0,3.0,0.0,4.0,0.0,3.0,4.0,0.0,0.0,4,3,3.6670056343643527,2.6696103857316666,0.997395248632686
679,0.0,1304.0,3.0,3.0,1692.0,1.0,8.0,45.0,0.0,0.0,3.0,4.0,2.0,2.0,24.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.688,5.476,2.0,112.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,4,3,3.750697958893802,2.6708699775003217,1.0798279813934801
680,1.0,1304.0,3.0,3.0,1727.0,1.0,8.0,46.0,0.0,0.0,3.0,4.0,2.0,1.0,24.0,22.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.21,6.282,3.0,121.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,4,3,3.827113968988381,2.682278459564829,1.1448355094235518
681,0.0,1304.0,3.0,3.0,1753.0,1.0,8.0,47.0,0.0,0.0,3.0,4.0,2.0,2.0,25.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.279,6.223,2.0,117.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,4.0,0.0,0.0,4,3,3.8944501788185564,2.7037084849123776,1.1907416939061788
682,1.0,1304.0,3.0,3.0,1789.0,1.0,8.0,48.0,0.0,0.0,3.0,4.0,2.0,1.0,25.0,23.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,28.009,22.35,5.0,122.0,4.0,0.0,0.0,2.0,0.0,1.0,0.0,3.0,4.0,0.0,0.0,4,3,3.9510750985414034,2.7347653674130115,1.216309731128392
683,1.0,1304.0,3.0,3.0,1826.0,1.0,8.0,49.0,0.0,0.0,3.0,4.0,2.0,1.0,25.0,24.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,24.155,15.546,5.0,121.0,3.0,1.0,0.0,2.0,0.0,2.0,0.0,3.0,4.0,0.0,0.0,4,3,3.995559374674791,2.7747984960503924,1.2207608786243984
684,0.0,1304.0,3.0,3.0,1856.0,1.0,8.0,50.0,0.0,0.0,3.0,4.0,2.0,1.0,26.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.556,11.411,2.0,114.0,3.0,1.0,0.0,2.0,0.0,3.0,0.0,3.0,4.0,0.0,0.0,4,3,4.026700822927823,2.8229179130224527,1.20378290990537
685,1.0,1304.0,3.0,3.0,1897.0,1.0,8.0,51.0,0.0,0.0,3.0,4.0,2.0,2.0,26.0,25.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.532,8.047,3.0,123.0,4.0,0.0,0.0,3.0,0.0,3.0,0.0,3.0,4.0,0.0,0.0,4,3,4.043544146239399,2.8780155105283574,1.1655286357110417
686,1.0,1304.0,3.0,3.0,1938.0,1.0,8.0,52.0,0.0,0.0,3.0,4.0,2.0,2.0,26.0,26.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.888,7.95,3.0,95.0,2.0,0.0,1.0,3.0,0.0,4.0,0.0,3.0,5.0,0.0,0.0,4,3,4.0453952399551705,2.938790248415045,1.1066049915401255
687,1.0,1304.0,3.0,3.0,1989.0,1.0,9.0,53.0,0.0,0.0,3.0,5.0,1.0,2.0,26.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.041,11.253,2.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,4,3,4.031830088208932,3.003776755214518,1.0280533329944141
688,1.0,1304.0,3.0,3.0,2017.0,1.0,9.0,54.0,0.0,0.0,3.0,5.0,1.0,1.0,26.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.112,6.229,2.0,102.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,5.0,0.0,0.0,4,3,4.002698349969037,3.0713766481113822,0.9313217018576552
