index,point_victor,match_id,player1,player2,elapsed_time,set_no,game_no,point_no,p1_sets,p2_sets,p1_games,p2_games,server,serve_no,p1_points_won,p2_points_won,game_victor,set_victor,p1_ace,p2_ace,p1_winner,p2_winner,winner_shot_type,p1_double_fault,p2_double_fault,p1_unf_err,p2_unf_err,p1_net_pt,p2_net_pt,p1_net_pt_won,p2_net_pt_won,p1_break_pt,p2_break_pt,p1_break_pt_won,p2_break_pt_won,p1_break_pt_missed,p2_break_pt_missed,p1_distance_run,p2_distance_run,rally_count,speed_mph,serve_width,serve_depth,return_depth,p1_score_normal,p1_score_tiebreak,p2_score_normal,p2_score_tiebreak,p1_game_victor,p2_game_victor,p1_set_victor,p2_set_victor,p1_momentum,p2_momentum
645,0.0,1304.0,3.0,3.0,359.0,1.0,3.0,11.0,0.0,0.0,1.0,1.0,1.0,2.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.757,9.224,3.0,95.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3,3
646,0.0,1304.0,3.0,3.0,390.0,1.0,3.0,12.0,0.0,0.0,1.0,1.0,1.0,1.0,8.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.291,24.933,7.0,117.0,3.0,0.0,1.0,3.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,3,3
647,0.0,1304.0,3.0,3.0,504.0,1.0,4.0,13.0,0.0,0.0,2.0,1.0,2.0,2.0,9.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.402,7.535,2.0,108.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,3,3
648,0.0,1304.0,3.0,3.0,533.0,1.0,4.0,14.0,0.0,0.0,2.0,1.0,2.0,2.0,10.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.94,1.038,0.0,0.0,4.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,3,3
649,1.0,1304.0,3.0,3.0,571.0,1.0,4.0,15.0,0.0,0.0,2.0,1.0,2.0,1.0,10.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.78,18.968,5.0,128.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,3,3
650,1.0,1304.0,3.0,3.0,603.0,1.0,4.0,16.0,0.0,0.0,2.0,1.0,2.0,1.0,10.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.898,9.751,1.0,122.0,3.0,1.0,1.0,2.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,3,3
651,0.0,1304.0,3.0,3.0,625.0,1.0,4.0,17.0,0.0,0.0,2.0,1.0,2.0,2.0,11.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.463,17.925,6.0,112.0,3.0,1.0,0.0,2.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,3,3
652,1.0,1304.0,3.0,3.0,675.0,1.0,4.0,18.0,0.0,0.0,2.0,1.0,2.0,1.0,11.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,38.64,43.183,11.0,127.0,4.0,0.0,1.0,3.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,3,3
653,1.0,1304.0,3.0,3.0,723.0,1.0,4.0,19.0,0.0,0.0,2.0,1.0,2.0,1.0,11.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.104,5.347,1.0,125.0,2.0,0.0,1.0,3.0,0.0,3.0,0.0,2.0,1.0,0.0,0.0,3,3
654,0.0,1304.0,3.0,3.0,750.0,1.0,4.0,20.0,0.0,0.0,2.0,1.0,2.0,2.0,12.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.568,16.514,4.0,121.0,0.0,0.0,0.0,3.0,0.0,4.0,0.0,2.0,1.0,0.0,0.0,3,3
655,1.0,1304.0,3.0,3.0,811.0,1.0,4.0,21.0,0.0,0.0,2.0,1.0,2.0,1.0,12.0,9.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.066,0.943,1.0,126.0,4.0,0.0,2.0,3.0,0.0,3.0,0.0,2.0,1.0,0.0,0.0,3,3
656,1.0,1304.0,3.0,3.0,832.0,1.0,4.0,22.0,0.0,0.0,2.0,1.0,2.0,2.0,12.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.193,15.082,5.0,101.0,3.0,0.0,0.0,3.0,0.0,4.0,0.0,2.0,2.0,0.0,0.0,3,3
657,0.0,1304.0,3.0,3.0,881.0,1.0,5.0,23.0,0.0,0.0,2.0,2.0,1.0,1.0,13.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.327,4.714,1.0,97.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,3,3
658,0.0,1304.0,3.0,3.0,900.0,1.0,5.0,24.0,0.0,0.0,2.0,2.0,1.0,1.0,14.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.137,7.568,1.0,104.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,3,3
659,0.0,1304.0,3.0,3.0,917.0,1.0,5.0,25.0,0.0,0.0,2.0,2.0,1.0,1.0,15.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.913,25.23,7.0,130.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,3,3
660,0.0,1304.0,3.0,3.0,947.0,1.0,5.0,26.0,0.0,0.0,2.0,2.0,1.0,1.0,16.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.802,8.942,3.0,114.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,3,3
661,0.0,1304.0,3.0,3.0,1048.0,1.0,6.0,27.0,0.0,0.0,3.0,2.0,2.0,1.0,17.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.825,4.702,2.0,120.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,3,3
662,1.0,1304.0,3.0,3.0,1065.0,1.0,6.0,28.0,0.0,0.0,3.0,2.0,2.0,1.0,17.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.05,4.681,1.0,124.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,3,3
663,0.0,1304.0,3.0,3.0,1082.0,1.0,6.0,29.0,0.0,0.0,3.0,2.0,2.0,1.0,18.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.535,1.641,2.0,127.0,4.0,0.0,2.0,1.0,0.0,1.0,0.0,3.0,2.0,0.0,0.0,3,3
664,0.0,1304.0,3.0,3.0,1123.0,1.0,6.0,30.0,0.0,0.0,3.0,2.0,2.0,2.0,19.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.615,17.285,4.0,96.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,3.0,2.0,0.0,0.0,3,3
665,1.0,1304.0,3.0,3.0,1185.0,1.0,6.0,31.0,0.0,0.0,3.0,2.0,2.0,1.0,19.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,21.853,13.534,5.0,111.0,3.0,1.0,0.0,3.0,0.0,1.0,0.0,3.0,2.0,0.0,0.0,3,3
666,1.0,1304.0,3.0,3.0,1219.0,1.0,6.0,32.0,0.0,0.0,3.0,2.0,2.0,2.0,19.0,13.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,18.443,21.823,5.0,89.0,3.0,1.0,1.0,3.0,0.0,2.0,0.0,3.0,2.0,0.0,0.0,3,3
667,1.0,1304.0,3.0,3.0,1271.0,1.0,6.0,33.0,0.0,0.0,3.0,2.0,2.0,1.0,19.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.217,2.317,1.0,132.0,4.0,0.0,0.0,3.0,0.0,3.0,0.0,3.0,2.0,0.0,0.0,3,3
668,0.0,1304.0,3.0,3.0,1292.0,1.0,6.0,34.0,0.0,0.0,3.0,2.0,2.0,2.0,20.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.924,6.05,0.0,0.0,2.0,1.0,0.0,3.0,0.0,4.0,0.0,3.0,2.0,0.0,0.0,3,3
669,1.0,1304.0,3.0,3.0,1332.0,1.0,6.0,35.0,0.0,0.0,3.0,2.0,2.0,1.0,20.0,15.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.044,11.819,3.0,118.0,3.0,0.0,0.0,3.0,0.0,3.0,0.0,3.0,2.0,0.0,0.0,3,3
670,1.0,1304.0,3.0,3.0,1360.0,1.0,6.0,36.0,0.0,0.0,3.0,2.0,2.0,1.0,20.0,16.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.31,7.44,3.0,121.0,4.0,0.0,0.0,3.0,0.0,4.0,0.0,3.0,3.0,0.0,0.0,3,3
671,0.0,1304.0,3.0,3.0,1396.0,1.0,7.0,37.0,0.0,0.0,3.0,3.0,1.0,1.0,21.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.239,9.474,1.0,102.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,3,3
672,1.0,1304.0,3.0,3.0,1417.0,1.0,7.0,38.0,0.0,0.0,3.0,3.0,1.0,1.0,21.0,17.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.381,11.904,4.0,111.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,3,3
673,0.0,1304.0,3.0,3.0,1441.0,1.0,7.0,39.0,0.0,0.0,3.0,3.0,1.0,1.0,22.0,17.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.32,1.106,1.0,120.0,3.0,1.0,2.0,1.0,0.0,1.0,0.0,3.0,3.0,0.0,0.0,3,3
674,1.0,1304.0,3.0,3.0,1458.0,1.0,7.0,40.0,0.0,0.0,3.0,3.0,1.0,1.0,22.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.15,12.207,4.0,121.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,3.0,3.0,0.0,0.0,3,3
675,0.0,1304.0,3.0,3.0,1482.0,1.0,7.0,41.0,0.0,0.0,3.0,3.0,1.0,1.0,23.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.032,5.627,1.0,107.0,3.0,1.0,0.0,2.0,0.0,2.0,0.0,3.0,3.0,0.0,0.0,3,3
676,1.0,1304.0,3.0,3.0,1505.0,1.0,7.0,42.0,0.0,0.0,3.0,3.0,1.0,2.0,23.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,16.54,16.191,4.0,79.0,1.0,0.0,1.0,3.0,0.0,2.0,0.0,3.0,3.0,0.0,0.0,3,3
677,1.0,1304.0,3.0,3.0,1546.0,1.0,7.0,43.0,0.0,0.0,3.0,3.0,1.0,1.0,23.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.662,11.092,2.0,101.0,3.0,1.0,0.0,3.0,0.0,3.0,0.0,3.0,3.0,0.0,0.0,3,3
678,1.0,1304.0,3.0,3.0,1569.0,1.0,7.0,44.0,0.0,0.0,3.0,3.0,1.0,2.0,23.0,21.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,34.949,32.707,8.0,86.0,1.0,0.0,0.0,3.0,0.0,4.0,0.0,3.0,4.0,0.0,0.0,4,3
679,0.0,1304.0,3.0,3.0,1692.0,1.0,8.0,45.0,0.0,0.0,3.0,4.0,2.0,2.0,24.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.688,5.476,2.0,112.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,4,3
680,1.0,1304.0,3.0,3.0,1727.0,1.0,8.0,46.0,0.0,0.0,3.0,4.0,2.0,1.0,24.0,22.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.21,6.282,3.0,121.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,4,3
681,0.0,1304.0,3.0,3.0,1753.0,1.0,8.0,47.0,0.0,0.0,3.0,4.0,2.0,2.0,25.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.279,6.223,2.0,117.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,4.0,0.0,0.0,4,3
682,1.0,1304.0,3.0,3.0,1789.0,1.0,8.0,48.0,0.0,0.0,3.0,4.0,2.0,1.0,25.0,23.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,28.009,22.35,5.0,122.0,4.0,0.0,0.0,2.0,0.0,1.0,0.0,3.0,4.0,0.0,0.0,4,3
683,1.0,1304.0,3.0,3.0,1826.0,1.0,8.0,49.0,0.0,0.0,3.0,4.0,2.0,1.0,25.0,24.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,24.155,15.546,5.0,121.0,3.0,1.0,0.0,2.0,0.0,2.0,0.0,3.0,4.0,0.0,0.0,4,3
684,0.0,1304.0,3.0,3.0,1856.0,1.0,8.0,50.0,0.0,0.0,3.0,4.0,2.0,1.0,26.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.556,11.411,2.0,114.0,3.0,1.0,0.0,2.0,0.0,3.0,0.0,3.0,4.0,0.0,0.0,4,3
685,1.0,1304.0,3.0,3.0,1897.0,1.0,8.0,51.0,0.0,0.0,3.0,4.0,2.0,2.0,26.0,25.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.532,8.047,3.0,123.0,4.0,0.0,0.0,3.0,0.0,3.0,0.0,3.0,4.0,0.0,0.0,4,3
686,1.0,1304.0,3.0,3.0,1938.0,1.0,8.0,52.0,0.0,0.0,3.0,4.0,2.0,2.0,26.0,26.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.888,7.95,3.0,95.0,2.0,0.0,1.0,3.0,0.0,4.0,0.0,3.0,5.0,0.0,0.0,4,3
687,1.0,1304.0,3.0,3.0,1989.0,1.0,9.0,53.0,0.0,0.0,3.0,5.0,1.0,2.0,26.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.041,11.253,2.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,4,3
688,1.0,1304.0,3.0,3.0,2017.0,1.0,9.0,54.0,0.0,0.0,3.0,5.0,1.0,1.0,26.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.112,6.229,2.0,102.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,5.0,0.0,0.0,4,3
689,1.0,1304.0,3.0,3.0,2038.0,1.0,9.0,55.0,0.0,0.0,3.0,5.0,1.0,2.0,26.0,29.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.559,27.826,8.0,103.0,2.0,1.0,1.0,0.0,0.0,2.0,0.0,3.0,5.0,0.0,0.0,4,3
690,1.0,1304.0,3.0,3.0,2082.0,1.0,9.0,56.0,0.0,0.0,3.0,5.0,1.0,2.0,26.0,30.0,2.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.239,4.422,2.0,84.0,2.0,0.0,1.0,0.0,0.0,3.0,0.0,3.0,6.0,0.0,1.0,4,3
691,1.0,1304.0,3.0,3.0,2239.0,2.0,1.0,57.0,0.0,1.0,0.0,0.0,2.0,1.0,26.0,31.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,22.316,19.159,5.0,112.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,6.0,0.0,1.0,4,3
692,0.0,1304.0,3.0,3.0,2280.0,2.0,1.0,58.0,0.0,1.0,0.0,0.0,2.0,1.0,27.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.647,4.929,2.0,119.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,6.0,0.0,1.0,4,3
693,0.0,1304.0,3.0,3.0,2303.0,2.0,1.0,59.0,0.0,1.0,0.0,0.0,2.0,1.0,28.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.31,6.669,2.0,125.0,4.0,0.0,1.0,1.0,0.0,1.0,0.0,3.0,6.0,0.0,1.0,3,3
694,1.0,1304.0,3.0,3.0,2329.0,2.0,1.0,60.0,0.0,1.0,0.0,0.0,2.0,2.0,28.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.765,3.757,1.0,114.0,4.0,0.0,1.0,2.0,0.0,1.0,0.0,3.0,6.0,0.0,1.0,3,3
695,1.0,1304.0,3.0,3.0,2369.0,2.0,1.0,61.0,0.0,1.0,0.0,0.0,2.0,1.0,28.0,33.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.947,28.258,9.0,131.0,4.0,0.0,0.0,2.0,0.0,2.0,0.0,3.0,6.0,0.0,1.0,3,3
